customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,vital_stages
18,53,male,dress,clothing,38,mississippi,xl,lavender,winter,4.7,yes,2-day shipping,yes,yes,36,venmo,quarterly,adulto
19,52,male,sweater,clothing,48,montana,s,black,summer,4.6,yes,free shipping,yes,yes,17,cash,weekly,adulto
20,66,male,pants,clothing,90,rhode island,m,green,summer,3.3,yes,standard,yes,yes,46,debit card,bi-weekly,tercera_edad
21,21,male,pants,clothing,51,louisiana,m,black,winter,2.8,yes,express,yes,yes,50,cash,quarterly,adulto
22,31,male,pants,clothing,62,north carolina,m,charcoal,winter,4.1,yes,store pickup,yes,yes,22,debit card,quarterly,adulto
23,56,male,pants,clothing,37,california,m,peach,summer,3.2,yes,store pickup,yes,yes,32,debit card,annually,adulto
24,31,male,pants,clothing,88,oklahoma,xl,white,winter,4.4,yes,express,yes,yes,40,credit card,weekly,adulto
25,18,male,jacket,outerwear,22,florida,m,green,fall,2.9,yes,store pickup,yes,yes,16,debit card,weekly,adolescente
26,18,male,hoodie,clothing,25,texas,m,silver,summer,3.6,yes,express,yes,yes,14,paypal,annually,adolescente
27,38,male,jewelry,accessories,20,nevada,m,red,spring,3.6,yes,next day air,yes,yes,13,credit card,annually,adulto
28,56,male,shorts,clothing,56,kentucky,l,cyan,summer,5.0,yes,next day air,yes,yes,7,bank transfer,quarterly,adulto
29,54,male,handbag,accessories,94,north carolina,m,gray,fall,4.4,yes,free shipping,yes,yes,41,paypal,quarterly,adulto
30,31,male,dress,clothing,48,wyoming,s,black,fall,4.1,yes,store pickup,yes,yes,14,credit card,weekly,adulto
31,57,male,jewelry,accessories,31,north carolina,l,black,winter,4.7,yes,standard,yes,yes,16,credit card,monthly,adulto
32,33,male,dress,clothing,79,west virginia,l,brown,winter,4.7,yes,store pickup,yes,yes,45,venmo,monthly,adulto
33,36,male,jacket,outerwear,67,kansas,m,silver,summer,4.9,yes,free shipping,yes,yes,37,venmo,annually,adulto
34,54,male,pants,clothing,38,colorado,l,green,summer,3.3,yes,store pickup,yes,yes,45,cash,quarterly,adulto
35,36,male,t-shirt,clothing,91,north dakota,l,violet,spring,4.6,yes,2-day shipping,yes,yes,38,paypal,quarterly,adulto
36,54,male,blouse,clothing,33,massachusetts,m,cyan,summer,4.0,yes,2-day shipping,yes,yes,48,credit card,bi-weekly,adulto
37,35,male,t-shirt,clothing,69,illinois,m,maroon,winter,4.6,yes,free shipping,yes,yes,44,paypal,bi-weekly,adulto
38,35,male,jeans,clothing,45,indiana,s,cyan,summer,2.8,yes,store pickup,yes,yes,10,paypal,weekly,adulto
39,29,male,dress,clothing,37,florida,m,red,winter,3.7,yes,2-day shipping,yes,yes,44,venmo,quarterly,adulto
40,70,male,pants,clothing,60,arizona,s,turquoise,summer,4.2,yes,express,yes,yes,18,credit card,monthly,tercera_edad
41,69,male,handbag,accessories,76,louisiana,l,beige,winter,4.6,yes,next day air,yes,yes,31,debit card,quarterly,tercera_edad
42,67,male,scarf,accessories,39,alaska,m,orange,spring,4.5,yes,standard,yes,yes,40,venmo,annually,tercera_edad
43,20,male,coat,outerwear,100,tennessee,m,beige,spring,4.1,yes,free shipping,yes,yes,15,paypal,annually,adulto
44,25,male,scarf,accessories,69,ohio,l,lavender,fall,3.7,yes,store pickup,yes,yes,19,paypal,bi-weekly,adulto
45,39,male,hat,accessories,53,kentucky,s,silver,summer,4.6,yes,free shipping,yes,yes,45,paypal,weekly,adulto
46,50,male,socks,clothing,21,tennessee,xl,indigo,fall,2.9,yes,2-day shipping,yes,yes,25,paypal,annually,adulto
47,57,male,shirt,clothing,43,california,l,white,summer,2.9,yes,store pickup,yes,yes,45,cash,quarterly,adulto
48,55,male,jewelry,accessories,54,montana,m,charcoal,winter,4.5,yes,free shipping,yes,yes,36,cash,weekly,adulto
49,42,male,shirt,clothing,55,nevada,m,orange,summer,2.7,yes,store pickup,yes,yes,38,cash,monthly,adulto
50,68,male,hoodie,clothing,30,new jersey,s,indigo,spring,4.6,yes,next day air,yes,yes,34,debit card,bi-weekly,tercera_edad
51,49,male,blouse,clothing,28,maryland,m,red,spring,3.7,yes,store pickup,yes,yes,39,debit card,bi-weekly,adulto
52,59,male,skirt,clothing,59,vermont,xl,gray,winter,4.7,yes,2-day shipping,yes,yes,7,credit card,quarterly,adulto
53,42,male,t-shirt,clothing,20,alaska,m,green,summer,2.6,yes,free shipping,yes,yes,26,credit card,weekly,adulto
54,29,male,skirt,clothing,24,mississippi,s,peach,winter,3.9,yes,next day air,yes,yes,35,credit card,weekly,adulto
55,47,male,coat,outerwear,94,new mexico,m,brown,summer,4.2,yes,next day air,yes,yes,35,debit card,bi-weekly,adulto
56,40,male,jacket,outerwear,28,south carolina,m,lavender,winter,3.0,yes,2-day shipping,yes,yes,49,credit card,annually,adulto
57,41,male,backpack,accessories,73,mississippi,xl,brown,summer,4.7,yes,store pickup,yes,yes,46,credit card,weekly,adulto
58,21,male,coat,outerwear,64,west virginia,m,white,summer,4.4,yes,store pickup,yes,yes,17,debit card,bi-weekly,adulto
59,69,male,hoodie,clothing,54,missouri,m,charcoal,summer,4.2,yes,free shipping,yes,yes,29,venmo,monthly,tercera_edad
60,63,male,belt,accessories,79,louisiana,l,yellow,spring,4.6,yes,standard,yes,yes,4,debit card,weekly,tercera_edad
61,50,male,sweater,clothing,37,idaho,l,brown,summer,4.0,yes,express,yes,yes,17,cash,weekly,adulto
62,55,male,scarf,accessories,68,texas,m,orange,winter,4.7,yes,store pickup,yes,yes,21,credit card,quarterly,adulto
63,30,male,sneakers,footwear,21,mississippi,s,magenta,spring,3.8,yes,free shipping,yes,yes,31,credit card,bi-weekly,adulto
64,33,male,sunglasses,accessories,79,arizona,l,lavender,winter,2.7,yes,2-day shipping,yes,yes,43,credit card,weekly,adulto
65,65,male,boots,footwear,83,alabama,s,green,fall,4.8,yes,standard,yes,yes,18,debit card,bi-weekly,tercera_edad
66,65,male,backpack,accessories,36,new jersey,m,purple,spring,4.8,yes,2-day shipping,yes,yes,44,venmo,quarterly,tercera_edad
67,31,male,blouse,clothing,94,pennsylvania,s,magenta,winter,4.7,yes,2-day shipping,yes,yes,3,venmo,quarterly,adulto
68,45,male,coat,outerwear,33,connecticut,l,gray,winter,4.4,yes,store pickup,yes,yes,49,debit card,monthly,adulto
69,57,male,handbag,accessories,46,utah,l,silver,summer,3.9,yes,next day air,yes,yes,21,cash,quarterly,adulto
70,48,male,belt,accessories,70,tennessee,s,cyan,summer,4.4,yes,express,yes,yes,5,cash,weekly,adulto
71,22,male,belt,accessories,29,alabama,m,magenta,fall,4.2,yes,express,yes,yes,32,debit card,quarterly,adulto
72,36,male,dress,clothing,48,virginia,l,gold,summer,2.9,yes,express,yes,yes,34,bank transfer,annually,adulto
73,18,male,dress,clothing,26,georgia,m,olive,winter,2.9,yes,store pickup,yes,yes,21,bank transfer,quarterly,adolescente
74,48,male,pants,clothing,85,hawaii,m,teal,spring,2.7,yes,free shipping,yes,yes,43,bank transfer,bi-weekly,adulto
75,49,male,gloves,accessories,58,indiana,l,violet,spring,4.5,yes,express,yes,yes,3,cash,monthly,adulto
76,64,male,scarf,accessories,85,utah,m,blue,summer,2.7,yes,free shipping,yes,yes,21,credit card,annually,tercera_edad
77,50,male,hat,accessories,43,delaware,s,teal,summer,4.2,yes,free shipping,yes,yes,32,venmo,monthly,adulto
78,22,male,dress,clothing,53,delaware,l,gold,summer,3.3,yes,next day air,yes,yes,36,debit card,bi-weekly,adulto
79,50,male,skirt,clothing,91,nebraska,m,maroon,spring,4.7,yes,free shipping,yes,yes,50,venmo,bi-weekly,adulto
80,38,male,jacket,outerwear,96,iowa,m,olive,winter,2.6,yes,2-day shipping,yes,yes,43,bank transfer,quarterly,adulto
81,19,male,sandals,footwear,72,new york,xl,blue,summer,3.3,yes,store pickup,yes,yes,24,credit card,quarterly,adolescente
82,67,male,shoes,footwear,96,virginia,l,maroon,summer,2.6,yes,express,yes,yes,36,credit card,quarterly,tercera_edad
83,19,male,pants,clothing,28,georgia,s,olive,spring,4.0,yes,2-day shipping,yes,yes,21,credit card,quarterly,adolescente
84,36,male,dress,clothing,40,texas,m,turquoise,summer,4.1,yes,standard,yes,yes,34,bank transfer,weekly,adulto
85,52,male,coat,outerwear,32,arizona,s,peach,spring,4.4,yes,standard,yes,yes,42,bank transfer,quarterly,adulto
86,53,male,sunglasses,accessories,95,new mexico,m,charcoal,winter,4.5,yes,next day air,yes,yes,2,debit card,bi-weekly,adulto
87,24,male,hoodie,clothing,41,nevada,l,pink,spring,3.7,yes,2-day shipping,yes,yes,47,cash,bi-weekly,adulto
88,52,male,shoes,footwear,53,ohio,m,green,fall,3.7,yes,2-day shipping,yes,yes,44,debit card,bi-weekly,adulto
89,33,male,t-shirt,clothing,47,wyoming,m,orange,fall,3.5,yes,free shipping,yes,yes,35,credit card,monthly,adulto
90,47,male,jacket,outerwear,83,california,xl,pink,fall,3.6,yes,next day air,yes,yes,15,cash,quarterly,adulto
91,25,male,hat,accessories,48,south carolina,l,violet,summer,2.9,yes,express,yes,yes,29,credit card,monthly,adulto
92,44,male,scarf,accessories,99,south carolina,s,green,winter,4.6,yes,standard,yes,yes,18,credit card,quarterly,adulto
93,61,male,jacket,outerwear,87,texas,m,olive,winter,4.4,yes,2-day shipping,yes,yes,13,venmo,quarterly,tercera_edad
94,37,male,sweater,clothing,62,florida,m,purple,fall,4.5,yes,standard,yes,yes,46,credit card,weekly,adulto
95,58,male,skirt,clothing,76,nevada,s,silver,spring,4.6,yes,free shipping,yes,yes,28,credit card,weekly,adulto
96,37,male,sneakers,footwear,100,missouri,l,pink,fall,3.8,yes,free shipping,yes,yes,48,paypal,monthly,adulto
97,32,male,gloves,accessories,73,delaware,s,gold,spring,3.6,yes,express,yes,yes,43,venmo,quarterly,adulto
98,21,male,shoes,footwear,92,virginia,m,teal,winter,4.8,yes,store pickup,yes,yes,37,cash,annually,adulto
99,20,male,jeans,clothing,67,new york,xl,teal,spring,2.6,yes,next day air,yes,yes,20,bank transfer,annually,adulto
100,26,male,hoodie,clothing,40,missouri,xl,indigo,summer,3.7,yes,express,yes,yes,33,debit card,quarterly,adulto
101,62,male,sunglasses,accessories,98,south dakota,m,maroon,fall,2.7,yes,express,yes,yes,31,cash,bi-weekly,tercera_edad
102,27,male,coat,outerwear,85,north dakota,xl,white,spring,4.6,yes,express,yes,yes,50,credit card,bi-weekly,adulto
103,51,male,socks,clothing,67,oklahoma,l,violet,winter,4.8,yes,next day air,yes,yes,35,credit card,quarterly,adulto
104,54,male,boots,footwear,89,west virginia,l,red,winter,4.0,yes,next day air,yes,yes,22,venmo,bi-weekly,adulto
105,55,male,sunglasses,accessories,24,new hampshire,l,pink,spring,4.4,yes,2-day shipping,yes,yes,1,paypal,monthly,adulto
106,69,male,backpack,accessories,96,new york,m,charcoal,fall,3.6,yes,next day air,yes,yes,4,bank transfer,annually,tercera_edad
107,64,male,jacket,outerwear,35,minnesota,l,white,summer,3.7,yes,standard,yes,yes,31,credit card,monthly,tercera_edad
108,28,male,sneakers,footwear,67,maryland,l,olive,winter,3.1,yes,next day air,yes,yes,46,paypal,bi-weekly,adulto
109,70,male,socks,clothing,79,montana,l,purple,spring,3.4,yes,next day air,yes,yes,32,bank transfer,bi-weekly,tercera_edad
110,58,male,t-shirt,clothing,85,alabama,m,violet,spring,2.6,yes,next day air,yes,yes,43,bank transfer,bi-weekly,adulto
111,56,male,backpack,accessories,26,new york,m,black,summer,4.0,yes,standard,yes,yes,26,venmo,bi-weekly,adulto
112,26,male,belt,accessories,75,massachusetts,l,purple,summer,5.0,yes,free shipping,yes,yes,9,credit card,annually,adulto
113,37,male,gloves,accessories,65,florida,m,red,spring,4.3,yes,free shipping,yes,yes,28,paypal,bi-weekly,adulto
114,44,male,hat,accessories,54,new jersey,l,maroon,winter,3.1,yes,next day air,yes,yes,20,paypal,quarterly,adulto
115,70,male,coat,outerwear,95,massachusetts,s,blue,summer,3.7,yes,store pickup,yes,yes,9,cash,weekly,tercera_edad
116,53,male,skirt,clothing,94,wyoming,m,gray,spring,3.8,yes,standard,yes,yes,48,debit card,quarterly,adulto
117,55,male,shoes,footwear,86,virginia,s,blue,spring,3.4,yes,free shipping,yes,yes,12,venmo,annually,adulto
118,50,male,sandals,footwear,32,south dakota,l,yellow,summer,4.6,yes,express,yes,yes,29,cash,bi-weekly,adulto
119,50,male,sweater,clothing,45,kentucky,l,orange,fall,4.8,yes,2-day shipping,yes,yes,27,cash,bi-weekly,adulto
120,38,male,coat,outerwear,76,wyoming,m,orange,fall,4.3,yes,express,yes,yes,44,cash,annually,adulto
121,64,male,hat,accessories,84,west virginia,l,red,summer,4.0,yes,express,yes,yes,32,bank transfer,annually,tercera_edad
122,19,male,shorts,clothing,72,virginia,m,olive,winter,4.2,yes,standard,yes,yes,11,cash,bi-weekly,adolescente
123,40,male,backpack,accessories,40,washington,l,brown,spring,4.8,yes,2-day shipping,yes,yes,44,cash,bi-weekly,adulto
124,57,male,sweater,clothing,89,louisiana,l,brown,fall,3.1,yes,free shipping,yes,yes,46,cash,weekly,adulto
125,44,male,sweater,clothing,86,nevada,m,gray,spring,3.1,yes,next day air,yes,yes,50,paypal,annually,adulto
126,49,male,shorts,clothing,54,california,m,indigo,winter,3.6,yes,next day air,yes,yes,45,venmo,quarterly,adulto
127,43,male,shorts,clothing,36,mississippi,l,pink,spring,3.9,yes,store pickup,yes,yes,48,cash,quarterly,adulto
128,24,male,sweater,clothing,89,mississippi,m,gray,winter,4.8,yes,next day air,yes,yes,26,credit card,weekly,adulto
129,20,male,scarf,accessories,32,california,m,gold,spring,4.7,yes,standard,yes,yes,21,credit card,bi-weekly,adulto
130,24,male,dress,clothing,67,pennsylvania,xl,olive,summer,4.2,yes,2-day shipping,yes,yes,49,paypal,bi-weekly,adulto
131,44,male,scarf,accessories,39,kentucky,l,violet,fall,3.7,yes,next day air,yes,yes,13,paypal,bi-weekly,adulto
132,28,male,skirt,clothing,29,maine,l,indigo,summer,3.9,yes,standard,yes,yes,46,credit card,weekly,adulto
133,30,male,backpack,accessories,58,new mexico,m,orange,fall,4.7,yes,2-day shipping,yes,yes,42,paypal,weekly,adulto
134,52,male,sweater,clothing,65,montana,m,violet,winter,2.5,yes,next day air,yes,yes,25,venmo,annually,adulto
135,43,male,hat,accessories,94,texas,l,gray,fall,4.9,yes,store pickup,yes,yes,25,cash,monthly,adulto
136,43,male,sandals,footwear,81,kansas,m,purple,fall,4.1,yes,express,yes,yes,12,paypal,quarterly,adulto
137,39,male,blouse,clothing,86,south carolina,m,white,winter,3.3,yes,free shipping,yes,yes,4,debit card,quarterly,adulto
138,68,male,sneakers,footwear,43,colorado,m,turquoise,spring,4.7,yes,free shipping,yes,yes,38,paypal,weekly,tercera_edad
139,68,male,skirt,clothing,29,georgia,m,maroon,winter,4.4,yes,store pickup,yes,yes,42,bank transfer,weekly,tercera_edad
140,49,male,coat,outerwear,95,florida,m,white,fall,3.8,yes,store pickup,yes,yes,30,venmo,annually,adulto
141,63,male,shirt,clothing,28,north carolina,l,yellow,fall,3.9,yes,2-day shipping,yes,yes,50,credit card,weekly,tercera_edad
142,56,male,gloves,accessories,46,virginia,m,turquoise,fall,4.9,yes,free shipping,yes,yes,45,paypal,weekly,adulto
143,37,male,jacket,outerwear,58,nebraska,l,violet,fall,3.1,yes,free shipping,yes,yes,33,credit card,bi-weekly,adulto
144,30,male,coat,outerwear,48,missouri,m,beige,fall,2.7,yes,store pickup,yes,yes,25,paypal,quarterly,adulto
145,19,male,shoes,footwear,43,new jersey,m,silver,fall,3.2,yes,express,yes,yes,25,cash,monthly,adolescente
146,24,male,jewelry,accessories,95,missouri,m,teal,fall,4.5,yes,standard,yes,yes,44,debit card,quarterly,adulto
147,52,male,skirt,clothing,30,colorado,s,black,fall,4.0,yes,standard,yes,yes,21,venmo,bi-weekly,adulto
148,63,male,shoes,footwear,64,idaho,m,purple,summer,3.5,yes,2-day shipping,yes,yes,31,bank transfer,bi-weekly,tercera_edad
149,37,male,gloves,accessories,90,wyoming,m,gray,fall,2.6,yes,store pickup,yes,yes,47,debit card,annually,adulto
150,38,male,pants,clothing,76,delaware,m,white,summer,3.2,yes,free shipping,yes,yes,14,paypal,monthly,adulto
151,35,male,boots,footwear,96,california,l,cyan,fall,4.9,yes,standard,yes,yes,17,debit card,quarterly,adulto
152,28,male,sunglasses,accessories,47,north dakota,l,turquoise,fall,4.5,yes,next day air,yes,yes,3,venmo,annually,adulto
153,30,male,shirt,clothing,85,south carolina,s,brown,summer,4.3,yes,express,yes,yes,42,venmo,annually,adulto
154,69,male,hoodie,clothing,55,north carolina,m,maroon,winter,3.2,yes,standard,yes,yes,22,debit card,annually,tercera_edad
155,41,male,dress,clothing,98,oklahoma,m,charcoal,fall,3.6,yes,next day air,yes,yes,21,venmo,quarterly,adulto
156,63,male,socks,clothing,77,maine,s,olive,spring,4.3,yes,free shipping,yes,yes,21,bank transfer,quarterly,tercera_edad
157,35,male,shorts,clothing,26,missouri,m,lavender,fall,4.0,yes,standard,yes,yes,40,debit card,annually,adulto
158,36,male,hat,accessories,68,vermont,s,yellow,fall,3.0,yes,next day air,yes,yes,1,bank transfer,bi-weekly,adulto
159,25,male,shirt,clothing,73,connecticut,xl,teal,fall,4.1,yes,standard,yes,yes,50,bank transfer,monthly,adulto
160,58,male,gloves,accessories,27,new hampshire,m,charcoal,fall,3.8,yes,store pickup,yes,yes,39,bank transfer,quarterly,adulto
161,27,male,gloves,accessories,23,texas,m,orange,summer,4.6,yes,free shipping,yes,yes,34,venmo,monthly,adulto
162,65,male,backpack,accessories,49,north dakota,m,olive,fall,3.0,yes,express,yes,yes,29,venmo,bi-weekly,tercera_edad
163,54,male,sunglasses,accessories,74,california,m,turquoise,summer,3.0,yes,store pickup,yes,yes,31,paypal,bi-weekly,adulto
164,54,male,skirt,clothing,67,virginia,m,purple,summer,3.4,yes,standard,yes,yes,8,debit card,weekly,adulto
165,59,male,handbag,accessories,65,delaware,s,purple,spring,2.6,yes,free shipping,yes,yes,5,credit card,bi-weekly,adulto
166,42,male,handbag,accessories,60,kentucky,s,yellow,winter,2.8,yes,store pickup,yes,yes,7,cash,monthly,adulto
167,46,male,sneakers,footwear,31,delaware,xl,indigo,fall,4.0,yes,store pickup,yes,yes,30,cash,monthly,adulto
168,33,male,gloves,accessories,27,arkansas,m,green,fall,4.0,yes,express,yes,yes,14,credit card,quarterly,adulto
169,34,male,shoes,footwear,80,louisiana,m,magenta,summer,3.0,yes,express,yes,yes,5,cash,bi-weekly,adulto
170,27,male,jacket,outerwear,30,nevada,s,gold,summer,3.3,yes,standard,yes,yes,3,paypal,quarterly,adulto
171,52,male,shirt,clothing,25,wyoming,m,maroon,fall,2.6,yes,store pickup,yes,yes,46,venmo,bi-weekly,adulto
172,29,male,shorts,clothing,35,virginia,m,blue,summer,3.6,yes,store pickup,yes,yes,4,credit card,weekly,adulto
173,54,male,jewelry,accessories,67,nebraska,m,violet,summer,3.9,yes,next day air,yes,yes,42,credit card,bi-weekly,adulto
174,25,male,hat,accessories,46,hawaii,m,turquoise,fall,3.4,yes,standard,yes,yes,30,cash,annually,adulto
175,41,male,shoes,footwear,35,vermont,l,brown,winter,3.5,yes,express,yes,yes,37,venmo,annually,adulto
176,53,male,coat,outerwear,86,oklahoma,l,violet,fall,2.8,yes,next day air,yes,yes,2,bank transfer,annually,adulto
177,53,male,backpack,accessories,81,new hampshire,l,black,spring,2.7,yes,next day air,yes,yes,30,credit card,quarterly,adulto
178,21,male,hoodie,clothing,42,kansas,l,magenta,fall,3.7,yes,next day air,yes,yes,47,bank transfer,monthly,adulto
179,61,male,skirt,clothing,43,idaho,l,lavender,fall,4.3,yes,2-day shipping,yes,yes,21,paypal,quarterly,tercera_edad
180,64,male,boots,footwear,31,illinois,m,violet,fall,4.9,yes,store pickup,yes,yes,9,bank transfer,bi-weekly,tercera_edad
181,51,male,sandals,footwear,81,south dakota,l,green,fall,3.3,yes,store pickup,yes,yes,12,debit card,bi-weekly,adulto
182,32,male,pants,clothing,61,massachusetts,m,beige,summer,4.7,yes,next day air,yes,yes,4,bank transfer,weekly,adulto
183,38,male,gloves,accessories,96,alabama,xl,purple,summer,2.8,yes,store pickup,yes,yes,10,debit card,annually,adulto
184,58,male,skirt,clothing,29,ohio,xl,beige,spring,3.6,yes,2-day shipping,yes,yes,26,credit card,weekly,adulto
185,32,male,sneakers,footwear,33,hawaii,l,cyan,spring,3.0,yes,express,yes,yes,40,cash,bi-weekly,adulto
186,46,male,t-shirt,clothing,32,wisconsin,xl,silver,summer,4.5,yes,store pickup,yes,yes,34,bank transfer,bi-weekly,adulto
187,39,male,backpack,accessories,56,minnesota,s,lavender,summer,2.9,yes,standard,yes,yes,31,debit card,annually,adulto
188,19,male,shoes,footwear,94,georgia,s,purple,spring,3.3,yes,store pickup,yes,yes,1,bank transfer,bi-weekly,adolescente
189,50,male,hoodie,clothing,53,arkansas,m,pink,spring,3.1,yes,express,yes,yes,5,bank transfer,bi-weekly,adulto
190,36,male,blouse,clothing,82,west virginia,m,maroon,fall,4.4,yes,next day air,yes,yes,4,credit card,weekly,adulto
191,65,male,coat,outerwear,70,indiana,xl,beige,fall,3.0,yes,free shipping,yes,yes,48,venmo,quarterly,tercera_edad
192,64,male,hat,accessories,76,utah,m,gray,fall,3.9,yes,free shipping,yes,yes,29,cash,quarterly,tercera_edad
193,46,male,shoes,footwear,29,nebraska,l,turquoise,summer,2.9,yes,express,yes,yes,12,paypal,bi-weekly,adulto
194,36,male,belt,accessories,100,north dakota,s,silver,fall,3.0,yes,standard,yes,yes,29,venmo,annually,adulto
195,51,male,backpack,accessories,94,missouri,m,olive,spring,3.1,yes,express,yes,yes,15,debit card,quarterly,adulto
196,51,male,jacket,outerwear,25,new york,m,magenta,fall,4.3,yes,free shipping,yes,yes,34,credit card,monthly,adulto
197,38,male,boots,footwear,88,washington,m,lavender,summer,3.9,yes,next day air,yes,yes,41,credit card,bi-weekly,adulto
198,59,male,scarf,accessories,78,south carolina,m,black,fall,3.2,yes,2-day shipping,yes,yes,41,credit card,monthly,adulto
199,57,male,jewelry,accessories,45,utah,m,turquoise,winter,4.8,yes,standard,yes,yes,39,credit card,bi-weekly,adulto
200,54,male,hat,accessories,73,idaho,xl,green,summer,3.8,yes,express,yes,yes,32,cash,weekly,adulto
201,25,male,dress,clothing,61,pennsylvania,s,teal,summer,3.3,yes,next day air,yes,yes,29,venmo,monthly,adulto
202,69,male,blouse,clothing,22,missouri,s,beige,fall,4.3,yes,free shipping,yes,yes,15,bank transfer,annually,tercera_edad
203,57,male,hat,accessories,38,nebraska,l,magenta,spring,2.7,yes,express,yes,yes,33,venmo,annually,adulto
204,70,male,scarf,accessories,38,indiana,s,yellow,fall,3.2,yes,next day air,yes,yes,18,bank transfer,weekly,tercera_edad
205,24,male,sneakers,footwear,100,arizona,m,yellow,fall,4.0,yes,store pickup,yes,yes,35,cash,bi-weekly,adulto
206,67,male,shirt,clothing,64,hawaii,m,silver,winter,3.0,yes,standard,yes,yes,25,paypal,weekly,tercera_edad
207,24,male,t-shirt,clothing,55,wisconsin,l,silver,summer,4.2,yes,free shipping,yes,yes,6,venmo,bi-weekly,adulto
208,62,male,gloves,accessories,91,rhode island,m,silver,summer,2.9,yes,express,yes,yes,17,bank transfer,bi-weekly,tercera_edad
209,57,male,skirt,clothing,38,wisconsin,m,gold,spring,4.1,yes,store pickup,yes,yes,17,credit card,monthly,adulto
210,55,male,sandals,footwear,97,minnesota,s,olive,winter,3.2,yes,store pickup,yes,yes,44,cash,quarterly,adulto
211,45,male,jacket,outerwear,22,vermont,l,teal,fall,3.0,yes,2-day shipping,yes,yes,6,paypal,bi-weekly,adulto
212,69,male,skirt,clothing,92,south dakota,l,maroon,fall,4.2,yes,2-day shipping,yes,yes,45,debit card,bi-weekly,tercera_edad
213,67,male,handbag,accessories,84,virginia,l,blue,fall,4.2,yes,express,yes,yes,7,debit card,annually,tercera_edad
214,30,male,handbag,accessories,93,nevada,l,peach,fall,4.4,yes,store pickup,yes,yes,11,debit card,quarterly,adulto
215,24,male,jacket,outerwear,50,hawaii,l,blue,summer,4.2,yes,next day air,yes,yes,41,cash,quarterly,adulto
216,62,male,scarf,accessories,64,new jersey,s,orange,spring,2.8,yes,2-day shipping,yes,yes,24,paypal,bi-weekly,tercera_edad
217,43,male,shorts,clothing,61,massachusetts,l,yellow,spring,3.7,yes,free shipping,yes,yes,21,venmo,weekly,adulto
218,35,male,sunglasses,accessories,48,oklahoma,m,purple,winter,3.5,yes,next day air,yes,yes,24,bank transfer,annually,adulto
219,28,male,t-shirt,clothing,45,california,s,magenta,spring,2.9,yes,store pickup,yes,yes,8,credit card,quarterly,adulto
220,32,male,belt,accessories,88,nevada,m,cyan,spring,3.0,yes,free shipping,yes,yes,12,cash,bi-weekly,adulto
221,39,male,sneakers,footwear,57,arizona,s,indigo,spring,3.7,yes,express,yes,yes,48,debit card,bi-weekly,adulto
222,28,male,hat,accessories,68,north carolina,xl,magenta,summer,4.4,yes,store pickup,yes,yes,6,bank transfer,quarterly,adulto
223,47,male,gloves,accessories,94,new york,xl,gray,spring,4.5,yes,2-day shipping,yes,yes,14,paypal,bi-weekly,adulto
